[UE1] [2025-07-19 11:36:21] [  5]   0.00-1.00   sec  6.99 MBytes  58.6 Mbits/sec  0.280 ms  0/5062 (0%)
[UE1] [2025-07-19 11:36:22] [  5]   1.00-2.00   sec  9.05 MBytes  76.0 Mbits/sec  0.097 ms  956/7512 (13%)
[UE1] [2025-07-19 11:36:23] [  5]   2.00-3.00   sec  9.98 MBytes  83.7 Mbits/sec  0.107 ms  2945/10171 (29%)
[UE1] [2025-07-19 11:36:24] [  5]   3.00-4.00   sec  10.2 MBytes  85.5 Mbits/sec  0.101 ms  3172/10556 (30%)
[UE1] [2025-07-19 11:36:25] [  5]   4.00-5.00   sec  10.0 MBytes  83.9 Mbits/sec  0.111 ms  3011/10254 (29%)
[UE1] [2025-07-19 11:36:26] [  5]   5.00-6.00   sec  10.8 MBytes  90.5 Mbits/sec  0.094 ms  3175/10983 (29%)
[UE1] [2025-07-19 11:36:27] [  5]   6.00-7.00   sec  9.39 MBytes  78.8 Mbits/sec  0.080 ms  2658/9461 (28%)
[UE1] [2025-07-19 11:36:28] [  5]   7.00-8.00   sec  10.2 MBytes  85.4 Mbits/sec  0.111 ms  3159/10530 (30%)
[UE1] [2025-07-19 11:36:29] [  5]   8.00-9.00   sec  10.0 MBytes  84.0 Mbits/sec  0.073 ms  3616/10864 (33%)
[UE1] [2025-07-19 11:36:30] [  5]   9.00-10.00  sec  10.2 MBytes  85.5 Mbits/sec  0.085 ms  2963/10345 (29%)
[UE1] [2025-07-19 11:36:31] [  5]  10.00-11.00  sec  10.0 MBytes  83.9 Mbits/sec  0.088 ms  2759/10006 (28%)
[UE1] [2025-07-19 11:36:32] [  5]  11.00-12.00  sec  10.2 MBytes  85.4 Mbits/sec  0.127 ms  2980/10354 (29%)
[UE1] [2025-07-19 11:36:33] [  5]  12.00-13.00  sec  10.8 MBytes  90.5 Mbits/sec  0.100 ms  3202/11017 (29%)
[UE1] [2025-07-19 11:36:34] [  5]  13.00-14.00  sec  9.99 MBytes  83.8 Mbits/sec  0.078 ms  2838/10074 (28%)
[UE1] [2025-07-19 11:36:35] [  5]  14.00-15.00  sec  10.2 MBytes  85.5 Mbits/sec  0.075 ms  2781/10160 (27%)
[UE1] [2025-07-19 11:36:36] [  5]  15.00-16.00  sec  9.97 MBytes  83.7 Mbits/sec  0.101 ms  2873/10096 (28%)
[UE1] [2025-07-19 11:36:37] [  5]  16.00-17.00  sec  10.2 MBytes  85.5 Mbits/sec  0.126 ms  3086/10470 (29%)
[UE1] [2025-07-19 11:36:38] [  5]  17.00-18.00  sec  9.99 MBytes  83.8 Mbits/sec  0.080 ms  2975/10210 (29%)
[UE1] [2025-07-19 11:36:39] [  5]  18.00-19.00  sec  10.2 MBytes  85.6 Mbits/sec  0.101 ms  3257/10647 (31%)
[UE1] [2025-07-19 11:36:40] [  5]  19.00-20.00  sec  9.39 MBytes  78.8 Mbits/sec  0.124 ms  2713/9515 (29%)
[UE1] [2025-07-19 11:36:41] [  5]  20.00-21.00  sec  9.98 MBytes  83.7 Mbits/sec  0.082 ms  3660/10888 (34%)
[UE1] [2025-07-19 11:36:42] [  5]  21.00-22.00  sec  10.2 MBytes  85.6 Mbits/sec  0.074 ms  3031/10417 (29%)
[UE1] [2025-07-19 11:36:43] [  5]  22.00-23.00  sec  10.1 MBytes  84.9 Mbits/sec  0.117 ms  3095/10426 (30%)
[UE1] [2025-07-19 11:36:44] [  5]  23.00-24.00  sec  9.98 MBytes  83.7 Mbits/sec  0.075 ms  3170/10399 (30%)
[UE1] [2025-07-19 11:36:45] [  5]  24.00-25.00  sec  10.2 MBytes  85.4 Mbits/sec  0.077 ms  2961/10337 (29%)
[UE1] [2025-07-19 11:36:46] [  5]  25.00-26.00  sec  9.56 MBytes  80.2 Mbits/sec  0.093 ms  2925/9849 (30%)
